X0Y0
VCC0.S_GBUF_FEED_BEG0,{28: '1'}
GND0.S_GBUF_FEED_BEG0,{28: '0'}
VCC0.S_GBUF_FEED_BEG1,{29: '1'}
GND0.S_GBUF_FEED_BEG1,{29: '0'}
VCC0.S_GBUF_FEED_BEG2,{30: '1'}
GND0.S_GBUF_FEED_BEG2,{30: '0'}
VCC0.S_GBUF_FEED_BEG3,{31: '1'}
GND0.S_GBUF_FEED_BEG3,{31: '0'}
S_GBUF_FEED_BEG0.S_GBUF_FEED_END0,{}
S_GBUF_FEED_BEG1.S_GBUF_FEED_END1,{}
S_GBUF_FEED_BEG2.S_GBUF_FEED_END2,{}
S_GBUF_FEED_BEG3.S_GBUF_FEED_END3,{}
X1Y0
N1END3.S1BEG0,{}
N1END2.S1BEG1,{}
N1END1.S1BEG2,{}
N1END0.S1BEG3,{}
N2MID7.S2BEG0,{}
N2MID6.S2BEG1,{}
N2MID5.S2BEG2,{}
N2MID4.S2BEG3,{}
N2MID3.S2BEG4,{}
N2MID2.S2BEG5,{}
N2MID1.S2BEG6,{}
N2MID0.S2BEG7,{}
N2END7.S2BEGb0,{}
N2END6.S2BEGb1,{}
N2END5.S2BEGb2,{}
N2END4.S2BEGb3,{}
N2END3.S2BEGb4,{}
N2END2.S2BEGb5,{}
N2END1.S2BEGb6,{}
N2END0.S2BEGb7,{}
N4END15.S4BEG0,{}
N4END14.S4BEG1,{}
N4END13.S4BEG2,{}
N4END12.S4BEG3,{}
N4END11.S4BEG4,{}
N4END10.S4BEG5,{}
N4END9.S4BEG6,{}
N4END8.S4BEG7,{}
N4END7.S4BEG8,{}
N4END6.S4BEG9,{}
N4END5.S4BEG10,{}
N4END4.S4BEG11,{}
N4END3.S4BEG12,{}
N4END2.S4BEG13,{}
N4END1.S4BEG14,{}
N4END0.S4BEG15,{}
NN4END15.SS4BEG0,{}
NN4END14.SS4BEG1,{}
NN4END13.SS4BEG2,{}
NN4END12.SS4BEG3,{}
NN4END11.SS4BEG4,{}
NN4END10.SS4BEG5,{}
NN4END9.SS4BEG6,{}
NN4END8.SS4BEG7,{}
NN4END7.SS4BEG8,{}
NN4END6.SS4BEG9,{}
NN4END5.SS4BEG10,{}
NN4END4.SS4BEG11,{}
NN4END3.SS4BEG12,{}
NN4END2.SS4BEG13,{}
NN4END1.SS4BEG14,{}
NN4END0.SS4BEG15,{}
S1BEG0.S1END0,{}
S1BEG1.S1END1,{}
S1BEG2.S1END2,{}
S1BEG3.S1END3,{}
S2BEG0.S2MID0,{}
S2BEG1.S2MID1,{}
S2BEG2.S2MID2,{}
S2BEG3.S2MID3,{}
S2BEG4.S2MID4,{}
S2BEG5.S2MID5,{}
S2BEG6.S2MID6,{}
S2BEG7.S2MID7,{}
S2BEGb0.S2END0,{}
S2BEGb1.S2END1,{}
S2BEGb2.S2END2,{}
S2BEGb3.S2END3,{}
S2BEGb4.S2END4,{}
S2BEGb5.S2END5,{}
S2BEGb6.S2END6,{}
S2BEGb7.S2END7,{}
S4BEG0.S4END0,{}
S4BEG1.S4END1,{}
S4BEG2.S4END2,{}
S4BEG3.S4END3,{}
S4BEG4.S4END4,{}
S4BEG5.S4END5,{}
S4BEG6.S4END6,{}
S4BEG7.S4END7,{}
S4BEG8.S4END8,{}
S4BEG9.S4END9,{}
